algoritmo,distribucion,tamaño,repeticion,tiempo_ms
TimSort,casi,500,3,0.038000
Seleccion,duplicados,500,1,0.530000
Seleccion,duplicados,500,2,0.516000
Seleccion,duplicados,500,3,0.526000
MergeSort,duplicados,500,1,0.090000
MergeSort,duplicados,500,2,0.088000
MergeSort,duplicados,500,3,0.088000
CountingSort,duplicados,500,1,0.015000
CountingSort,duplicados,500,2,0.014000
CountingSort,duplicados,500,3,0.014000
TimSort,duplicados,500,1,0.050000
TimSort,duplicados,500,2,0.060000
TimSort,duplicados,500,3,0.049000
Seleccion,aleatorio,1000,1,2.087000
Seleccion,aleatorio,1000,2,2.111000
Seleccion,aleatorio,1000,3,2.115000
MergeSort,aleatorio,1000,1,0.211000
MergeSort,aleatorio,1000,2,0.208000
MergeSort,aleatorio,1000,3,0.206000
CountingSort,aleatorio,1000,1,0.031000
CountingSort,aleatorio,1000,2,0.030000
CountingSort,aleatorio,1000,3,0.030000
TimSort,aleatorio,1000,1,0.136000
TimSort,aleatorio,1000,2,0.133000
TimSort,aleatorio,1000,3,0.132000
Seleccion,ordenado,1000,1,2.068000
Seleccion,ordenado,1000,2,2.058000
Seleccion,ordenado,1000,3,2.035000
MergeSort,ordenado,1000,1,0.163000
MergeSort,ordenado,1000,2,0.151000
MergeSort,ordenado,1000,3,0.150000
CountingSort,ordenado,1000,1,0.031000
CountingSort,ordenado,1000,2,0.031000
CountingSort,ordenado,1000,3,0.032000
TimSort,ordenado,1000,1,0.058000
TimSort,ordenado,1000,2,0.057000
TimSort,ordenado,1000,3,0.058000
Seleccion,reverso,1000,1,2.158000
Seleccion,reverso,1000,2,2.214000
Seleccion,reverso,1000,3,2.193000
MergeSort,reverso,1000,1,0.173000
MergeSort,reverso,1000,2,0.151000
MergeSort,reverso,1000,3,0.152000
CountingSort,reverso,1000,1,0.032000
CountingSort,reverso,1000,2,0.031000
CountingSort,reverso,1000,3,0.031000
TimSort,reverso,1000,1,0.139000
TimSort,reverso,1000,2,0.138000
TimSort,reverso,1000,3,0.151000
Seleccion,casi,1000,1,2.050000
Seleccion,casi,1000,2,2.046000
Seleccion,casi,1000,3,2.043000
MergeSort,casi,1000,1,0.188000
MergeSort,casi,1000,2,0.173000
MergeSort,casi,1000,3,0.172000
CountingSort,casi,1000,1,0.031000
CountingSort,casi,1000,2,0.030000
CountingSort,casi,1000,3,0.030000
TimSort,casi,1000,1,0.088000
TimSort,casi,1000,2,0.086000
TimSort,casi,1000,3,0.085000
Seleccion,duplicados,1000,1,2.057000
Seleccion,duplicados,1000,2,2.078000
Seleccion,duplicados,1000,3,2.112000
MergeSort,duplicados,1000,1,0.189000
MergeSort,duplicados,1000,2,0.185000
